Летописец от призвания варягов до венчания на царство Бориса Годунова (7107 г.)|РНБ, Q.XVII.142|Сборник, XVII в., 4о, 393 л., скоропись. Текст начинается на л. 295.Рассказ событий останавливается на 7107 годе, на венчании на царство Бориса Годунова.  |Летописец от Рюрика князя, откуды поидоша Руский род и земля Русская|Отчет Императорской публичной библиотеки за 1874 год. С. 130. 
Летописец||Скоропись разных рук XVIII в., 236 л. По нижнему краю листов идет нумерация тетрадей, всего 30. Текст начинается с л. 1. Нач.: "Безначална родителя и Творца всея твари угодник, корень же и прародитель человеческаго рода, по плоти великии в патриарсех Ное"|О начале древнего словенского народа. |Описание рукописей князя Павла Петровича Вяземского. 1902. (ОЛДП. Издания. № 119). С. 389.
Летопись русская|ГИМ, собр. А. С. Уварова № 1401 (305)(237)|XIX в., 2о, 174 л.||Леонид (Кавелин). Систематическое описание славяно-российских рукописей собрания А. С. Уварова. Т. 3. М., 1894. №1401 (305).(237). С. 86.
Летописец Русский, отрывки|РГБ, собр. Н. П. Румянцева № 254|Тексту летописца предшествует "писание Сорбонских учителей о соединении церкви греко-российской с римскою"||Востоков А. Х. Описание русских и словенских рукописей Румянцевского музеума. СПб., 1842. С. 359.
Летопись от сотворения мира до Рождества Христова||330 л., скоропись XVIII в., 1, Записи: "Сия книга, именуемая летопись Рязанъской губернии города Съкатена (?) округи деревни Гремячьки Коннозавотской волости волоснова дворъцовова крестьянина Якова Игнатьева сына Ремизова, потъписалъ Елотомский мещенин Ал||Описание рукописей князя Павла Петровича Вяземского. 1902. (ОЛДП. Издания. № 119). №  LXXXI. С. 91.
Книга глаголемая летописец великия земли Росиския, великаго словеньскаго языка, отколе и в кои лета начаша быти великия князи и цари и когда крещение прият Росииская земля|РНБ, F.IV.633|XVIII в., 2о, 165 л., скоропись. Последнее событие, занесенное в этом летописце, относится к 7135 году (рождение царевны Ирины Михайловны). ||Отчет Императорской публичной библиотеки за 1881 год. С. 22
Летописец с 7070 (1562) по 7129 (1621) год, содержащий биографию автора|Толстов., II, № 195|начало XVII в., 234 л., мелкая скоропись. Летописец с 7070 (1562) по 7129 (1621) год, в коем записана чья-то биография (может быть собирателя сей книги) состоящая в беспрестанных переходах из одного монастыря в другой, наиболее северной России. ||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. II. № 195. С. 343.
Два летописца, в списках нового времени|РГБ, собр. В. М. Ундольского №759, РГБ, собр. В. М. Ундольского № 760|Два летописца, в списках нового времени. Первый (№ 759) с 1375 по 1401 г., на 135 л.; второй (№ 760) с 1399 по 1424 г., на 136 л. Последний со вставкой в средине Поучения Симеона, владыки новгородского, псковичам||Викторов А.Е. Собрание славяно-русских рукописей В.М. Ундольского. М., 1870. С. 22.
Летописец от начала русской земли до ц. Алексея Михайловича|РГБ, собр. В. М. Ундольского № 1283|XVIII в., 2о, 158 л., поморское письмо. Летописец от начала русской земли до ц. Алексея Михайловича с историей Казанского царства в конце.||Викторов А.Е. Собрание славяно-русских рукописей В.М. Ундольского. М., 1870. С. 22.
Летописец|РНБ, собр. Соловецкого монастыря № 665 (21)|XVII в., 4о, 132 л., скоропись. Внизу по первым лл. помета: "Сия книа Летописец Соловецкаго монастыря соборнаго старца Иринарха Тарбеева келейная. По смерти моей взяти в книгохранительную соловецкую казну, читателям в пользу выдавати и меня грешнаго во св||Описание рукописей Соловецкого монастыря, находящихся в библиотеке Казанской духовной академии. Вып. II. С. 537
Летописец ||XVII в., 174 л., скоропись. Судя по старой нумерации недостает 8 первых листов. Записи на л. 173 об., после статьи о перенесении моей митрполита Филиппа из Соловецкого монастыря в Москву и о поставлении на патриаршество Никона, почерком нач. XIX в.: Доде ||Описание рукописей князя Павла Петровича Вяземского. 1902. (ОЛДП. Издания. № 119). № CCVI. С. 385.
Летописец без начала и конца с 1185 г. до царствования Алексея Михайловича|РГБ, собр. В. М. Ундольского № 785|XVII в., 80 л., 4о, полуустав. Летописец без начала и конца, начинающийся 1185 г. и оканчивающийся началом царствования ц. Алексея Михайловича||Викторов А.Е. Собрание славяно-русских рукописей В.М. Ундольского. М., 1870. С. 21
Летописец (хронограф)||XVIII в., 4о, 306 л., южнорусская скоропись.||Титов А. А. Книгописные собрания в провинции. Вып. 1. Собрание преосвященного Амфилохия, епископа Угличского. М., 1892. С. 12. № 252.
Летописец||XVIII века, 4о, 141 л., скоропись. Запись: "Читал сию книгу Старорусский мещанин Василий Половодин". Л. 1. О начале древняго Славенскаго народа. Нач. Безначална Родителя и Творца всея твари угодник, корень же и прародитель человеческаго рода по плоти вели||Описание рукописей князя Павла Петровича Вяземского. 1902. (ОЛДП. Издания. № 119). № XLIV. С. 210.
Летописец||XVIII-XIX в., скоропись, 460 л. Л. 1. Часть четвертая Древней летописи Руской. Нач. Лета 6970, от Рождества же Господа Спаса нашего 1462 марта 27 дня по смерти великого князя Василия Васильевича. Оканчивается описанием смерти Феодора Ивановича. Л. 428 об.||Описание рукописей князя Павла Петровича Вяземского. 1902. (ОЛДП. Издания. № 119). № CIII. С. 109.
Летопись||XVIII в., 4о, 87 л., скоропись разных почерков. Печатная пометка: "Василей Панфилович Абакимов".  Л. 1. Без заглавия. Нач.: "Во дни благочестиваго великаго государя царя и великаго князя Алексия Михайловича в щасливое ево царствование были в России мужие ||Описание рукописей князя Павла Петровича Вяземского. 1902. (ОЛДП. Издания. № 119). № XLVI. С. 211.
Летописец|РНБ, собр. Соловецкого монастыря № 664 (22)|Начала XVII в., 4о, 83 л., скоропись. В начале на 4 лл. несколько позднейшей руки Летописец Никифора патриарха цареградского. Л. 6. Без начала перечисление греческих царей (с Льва армянина) вместе с русскими князьями, прерывающееяс именами Юрия и Констант||Описание рукописей Соловецкого монастыря, находящихся в библиотеке Казанской духовной академии.Вып. II. С. 535
Радзивиловская летопись||||Изв. ОРЯС. 1908. II. 307 л. След (статья Д. В. Айналова)
Морозовская летопись||XVII в., 4о, 8+78 л., первые 8 листов отсутствуют. Пожертвована Е. Барсовым.  Рукопись начинается сказанием о Борисе Годунове, рассказывает о убиении царевича Димитрия, о царствовании Бориса Годунова, самозванца, Василия Шуйского, избрании на престол и ца||Петров Н. И. Описание рукописей церковно-археологического музея при Киевской духовной академии. Вып. 1. Киев, 1875. № 183 (О.4.61). С. 141.
Кекинский ростовский летописец|РНБ, собр. А. А. Титова № 3135|XIX в., 8о, 53 л., скоропись||Титов А. А. Охранный каталог славяно-русских рукописей А. А. Титова. Вып. IV. № 3135. С. 41.
Никоновская летопись|РГБ, собр. В. М. Ундольского № 756|XVII в., 4о, 359 л., белорусская скоропись. В начале сборника: хронограф, большей частью по библейским книгам, оканчивающийся Александрией, потом Криница или оглавление к Амартолу, летописец патр. Никифора и другие статьи.||Викторов А.Е. Собрание славяно-русских рукописей В.М. Ундольского. М., 1870. С. 21. 
строгановская летопись|БАН, 1.4.1.|Сборник, вторая половина XVII в., 4о, 177 л. л. 12. Летопись Строгановская. Нач.: Лета 7066 апреля в день цар и великий князь Иван Васильевич всея Розсии пожаловал Григорья Иоаникеева сына Строганова покамест (=по Каме) реке, где изберет место городок пос||Срезневский В. И. Сведения о рукописях, печатных изданиях и других предметах, поступивших в Рукописное отделение Библиотеки Императорской Академии наук. СПб., 1902. С. 18-19.
Хронология краткая до воцарения Михаила|ГИМ, Музейское собр. № 1749|Сборник, конец XVII-н. XVIII в., 4о, 1+166 л.||
Летописец вкратце о распятии Христове о великих муеницех и святителех|ГИМ, Музейское собр. № 1305|Сборник (с хронографом), XVII в., 4о, 889 л.||
Хронология от Адама, пророков о Христе|ГИМ, Музейское собр. № 1758|Сборник, XVII и XVIII вв., 4о, 87 лл.||
Хронология от Адама и соборов Вселенских|ГИМ, Музейское собр. № 674|Сборник, конец XVII в., 4о, 93 л.||
Летописец от Адама|Почаевская лавра № 47 (116)|Сборник,  XVI в., 8о, 504 л. л. 422. Сказание вкратце летом сущим от Адама до нынешнего времени родом. Нач. Адам быв лет 230 роди Сифа и прожит 700 лет (Хронология доводится до конца XV в., до взятия Константинополя турками).|Сказание вкратце летом сущим от Адама до нынешнего времени родом|Собрание Почаевской лавры. С. 75
Летописец вкратце о начале российскаго жительства.|собр. Археографической комиссии № 227|XVII в., 4о, 182 л., полуустав.  Нач.: "Адам земля воплощенна или родитель, Евреи бо землю наричютъ Адамом того ради и рожденнаго от нея наричют Адам". Затем следует пространное сказание о Словене и Русе, а потом сокращение Степенной книги. Довеен до ступ||Барсуков Н. П. Рукописи Археографической комиссии. 1882.  С. 173
Летописец от Адама|РНБ, собр. Соловецкого монастыря № 221 (295)|XVII в., 4о, 583 л., скоропись. Летописчик вкратце: "От Адама до потопа лет 2242". Оканчивается крещением Руси: "А от креения до конца седмыя тысящи лет 504". От Иоанна Лествицы и др. статьи. ||
Летописец от Адама||Сборник, XVIII в., 4о, 299 л. Текст начинается с л. 174. Нач.: "От Адама до потопа 2041 лета"|Выписано из Летописца, вкратце написан сиреч Временник|Описание рукописей князя Павла Петровича Вяземского. 1902. (ОЛДП. Издания. № 119). № CCIII. С. 381
Летописец от Адама|собр. Археографической комиссии № 213|Сборник, XVII в., 4о, 384 стр., скоропись. Текст начинается на л. 189.|Летописчик вкратце от Адама|Барсуков Н. П. Рукописи Археографической комиссии. 1882.  С. 122
Летописчик вкратце|собр. Казанской Духовной Академии № 900|конец XVII-начало XVIII веков, скоропись.||Рузский Н. В. Сведения о рукописях, содержащих в себе хождение в святую землю русского игумена Даниила в начале XII века. М., 1891. С. 107
Летописец выбором|РНБ, собр. СПбДА № 318|Сборник, 4, 242 л., XVII в. Текст помещен на л. 24-30. Начинается с лета 6662 (1154 г.); оконч. Венчанием на царство Феод. Алексеевича 18 июня 7184 г. (недописано)|Летописец написан вкратце из старых летописцов выбором что и в коем году учинилось в Москов. Государстве и во всей руской земле|Родосский А. С. Описание 432 рукописей, принадлежащих Санкт-Петербургской духовной Академии. СПб., 1894. С. 319
Летописец вкратце (иностранный)|РНБ, F.IV.117|Сборник исторический, XVIII в., 2о, 882 л. Принадлежал Илье Козмичу Безобразову.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. № 300. С. 300.
Летописец вкратце|собр. Тверского Музея № 63 (3112)|начало XVIII в., 4о, 682 л. л. 2. Таблицы Хронологические. Л. 3. Начало ветхозаветной истории. Во многих местах изложение стихотворное (вирши) - до царства Константина. Источником, м.п., служили: Синопсис, Кормчия, Книга новая и др. Выписки доходят до еди||Сперанский М. Н. Описание рукописей Тверского музея. М., 1891. С. 73
Выписка из летописца вкратце|РНБ, собр. М. П. Погодина № 1554|Сборник из 7 отрывков, 8о, 64 лл. л. 1. Выписано из летописца вкратце. Начинается 6370 (862) годом, известием о приходе Рюрика из Немец, и кончается 7045 (1537) годом, известием о кончине князя Юрья Ивановича, брата великого князя Василия. Особенно важног||Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 92.
Летописец избран вкратце до ц. Ивана Васильевича|РНБ, O.IV.21|XVII в., 498 л., полуустав и скоропись. Текст начинается с л. 251.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. № 68. С. 594.
От летописца избрано вкратце|РНБ, Q.XVII.227|Сборник, XVII в., 4о, 243 л., скоропись нескольких почерков. л. 46. От летописца избрано вкратце от начале родословия от Адама перваго дни и от коего колена его поидоша царие, судия же и владелцы и кто колко лет быст мимотекущаго кола его. Краткие летопис||Отчет Императорской публичной библиотеки за 1897. С. 153-154
Русский летописец вкратце по 7036 г.||Сборник, XVI-XVII в., 4о, 800 л., полуустав и скоропись разных почерков.||Викторов А. Е. Описи рукописных собраний в книгохранилищах Северной России. Издание Археографической комиссии. СПб., 1890. С. 106
Летописчик вкратце|РГБ, собр. Иосифо-Волоколамского монастыря № 226 (650)|История всеобщая (хронограф), с прибалвениями, XVI в., 2о, 262 л.||
Летописец вкратце|РГБ, собр. Иосифо-Волоколамского монастыря № 92 (387)|Службы с канонами и разными выписками, XVI в., 8о, 671 л. л. 522-523. Летописец вкратце (события XV-XVI веков).||
Летописец сложен вкратце|РНБ, Q.XVII.82|Рукопись, составленная из двух тетрадей, из которых первая написана в 7110 (1602) г., а последняя в конце XVII в., 107 л., полуустав.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. № 229. С. 382.
Летописец вкратце|Григорович. № 27|Сборник, XVII в., 417 л.|Летописец вкратце о Российской земле от которого колена Росиския и славенския люди и почему именуются Россия и славяне и о создани великаго Новаграда|Викторов А. Е. Собрание рукописей В. И. Григоровича. М., 1879. С. 95
Летописец вкратце|собр. Тверского Музея № 63(3112)|XVIII в., 4о, 682 л. Летописец вкратце. "Написася от сотворения небесе и о всех, яже суть в них…, а о том написася по летописцам печатным  рукописным"||Сперанский М. Н. Описание рукописей Тверского музея. М., 1891. С. 73
Летописец вкратце от сотворения мира|РНБ, собр. А. А. Титова № 2691|XVII в., 4о, 44 л., скоропись.||Титов А. А. Охранный каталог славяно-русских рукописей А. А. Титова. Вып. III. С. 119
Летописец вкратце от начала мира до 7042 (1534) г.|РНБ, O.IV.22|XVI в., 911 л., полуустав.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. С. 575.
Летописчик вкратце от сотворения мира|РНБ, F.I.216|XVII в., 388 л., скоропись. Окончание отсутствует. Летописчик вкратце от сотворения мира, прерывается на царствовании Иоанна Васильевича выпиской из путешествия Трифона Коробейникова ко св. местам.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. С. 100.
Летописец вкратце|РНБ, Q.XVII.15|Сборник, XVI в., 4о, 551 л. Рукопись Волоколамского игумена Нифонта (Кормилицына). Текст летописца начинается с л. 539.|Летописец вкратце о распятии Христове, и о въскресении, и о възнесении на небеса, и о царех, по възнесении Христове, и о великомученицех, и святителех и о преподобных Отцех великых.|Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  Приб. II. № 254. 
Летописец краткий о великой России|РГБ, Музейное собр. № 2418|Сборник, XVII-начало XVIII вв., 8о, 247 и III л.||
Летописец краткий |РГБ, Музейное собр. № 2347|Сборник, XVII-XVIII вв., 4о, 438+3 л.||
Летописец краткий от сотворения света до кончины государыни Анны Иоановны|РГБ, Музейное собр. № 1940|Сборник летописный, XVIII в. 8о, 213 и 1 л.||
Летописец вкратце от Адама|Муз. 576|Сборник, 4, 17-18, 474 л.||
Летописец вкратце от Адама|РГБ, Музейное собр. № 2251|Сборник, XVII в., 8о, 403 л.||
Летописец краткий от Адама|ГИМ, Синодальное собр. № 117 (по прежн. Кат. 954).|Св. Григория Богослова 16 слов с толкованием Никиты Ираклийского, пергамен, XIV в., 2о, 213 л. полуустав, два столбца. После Слов, на л. 213 - оглавление их, и потом мелким почерком написано краткое показание времени важнейших происшествий из всемирной и ||Проф. Горский А. проф. Невоструев К. Описание славянских рукописей Московской Синодальной
библиотеки. М. 1855. T. II. М., 1857. № 117. С. 72.
Летописец краткий всемирный|ГИМ, собр. А. С. Уварова № 1389 (148)|Скоропись конца XVII столетия, 8о, 93 л. Летописец краткий всемирный, с изложением событий русских.||Леонид (Кавелин). Систематическое описание славяно-российских рукописей собрания А. С. Уварова. Т. 3. М., 1894. С. 80.
Летописец о миробытии краткий|РНБ, собр. М. П. Погодина № 1616|4о, 377 л. л. 1. Летописец о миробытии краткий. Нач.: О шести днех и иже сотвори Бог в них. Зачало 1-го дне. Искони сотвори Бог первый день в неделе мирозиждителным словом своим, в нем же небо и землю, и божественное видимое и превышнее небо, и вся ангелс||Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 467.
Летописчик краткий с начала Руси до избрания на царство Михаила||Родословная книга, XVIII в., 4о, 112 л., полуустав. л. 1. Летописчик краткий от начала Руси до избрания царя Михаила. Нач.: В лето 6360-го при Михаие царе гръчесте нача зватися Рускоя земля.||Сперанский М. Н. Описание рукописей Тверского музея. М., 1891. № 54 (3111). С. 61.
Краткая летопись от начала мира до конца XV века|Московская Синодальная библиотека № 316|Сборник, XV в. с дополнениями XVI в., 4о, 368 л. 75 л.-86. Краткая летопись от начала мира до конца XV века (Летописные заметки разными руками пополнялись; последнее известие о браке в. к. Василия Иоанновича с Соломонидою)||Рузский Н. В. Сведения о рукописях, содержащих в себе хождение в святую землю русского игумена Даниила в начале XII века. М., 1891. С. 35.
Летописец от Адама||Сборник, XVII в., 8о, 302 л., полуустав двух рук.  Нач.: От Адама до потопа лет 2242; и при Фалице бысть разделение языком.||Описание рукописей князя Павла Петровича Вяземского. 1902. (ОЛДП. Издания. № 119). № LXVIII. С. 555.
Летописец от Адама||Сборник, XVI-XVII вв., 4о, 197 лл, полуустав и скоропись разных рук. Нач.: "От Адама до потопа лет 2242, от потопа до разделения язык 530". Оканчивается записью о вступлении на царство царя Алексея Михаиловича и о кончине царицы Евдокии Лукьяновны (август||Описание рукописей князя Павла Петровича Вяземского. 1902. (ОЛДП. Издания. № 119). № LV. С. 538.
Летописец краткий от миробытия, краткий руский летописец и о убиении Димитрия Царевича |РГБ, собр. В. М. Ундольского № 797.|Сборник, первой половины XVIII в., 4о, 144 л. В начале сборника № 797. Летописец краткий от миробытия, краткий Русский Летописец и о убиении Димитрия Царевича (о Петре Великом см. также сборн. № 1152).||Викторов А.Е. Собрание славяно-русских рукописей В.М. Ундольского. М., 1870. С. 51. № 797.
Мелкие выписки из разных книг|РГБ, собр. Троице-Сергиева монастыря № 325 (834)|Псалтирь с восследованием, XVI в., 4о, 543 л., полуустав. с л. 507 мекие выписки из разных книг, в числе коих (л. 532 об.) краткий летописец от праотца Адама до XVI в. и (л. 520) запись: "Есть в году день зол зело, имя ему (кем-то почищено. В оп. Рум. Муз||Илларий (иером.) и Арсений (иером.). Описание славянских рукописей библиотеки Свято-Троицкой Сергиевой Лавры. Вып. II. № 325 (834). С. 101.
Летописец от Адама|РНБ, Q.IV.139|конец XVII в., 410 л., скоропись. В конце присоединены Руские произшествия по 7181 (1673) год.|От Летописца избрано вкратце о начале родословия от Адама |Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. С. 241. № 101.
Летописец выбором|РНБ, собр. М. П. Погодина 1602|Сборник из двух рукописей, 4о, 42 л. Вторая рукопись. Скорописью XVII в. Текст начинается с л. 27. Начинается хронологией от сотворения мира, которая оканчивается царем Иоанном Васильевичем. Эта хронология предпослана заглавию, после которого первое запис| Летаписец написон выбором из старых летописцев, что учинилось в Московском государстве и во всей Росииской земли в нынешнея времена и в прежнея леты|Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 234.
Летописец от Адама|РНБ, собр. Соловецкого монастыря № 434 (866)|Палея историческая (без толкований), 4о, 350 л., различными и разновременными почерками. Текст помещен на л. 244-291. Нач.: "Адам первый человек на земли бысть лет 930, роди Сифа и пожив 700 лет до 135-го лета Малелеила, вкупе живе всех лет 930". Оканчива|Сказание от Адама летопись по родословию и от коего колена поидоша царие, судии же и владельцы над Израили и колько кто лет ими владе и о прочих царствах мимотекущаго кола сего|Описание рукописей Соловецкого монастыря, находящихся в библиотеке Казанской духовной академии.
Ч.2. № 434. С. 93. 
Летописец от Адама до царя Ивана Васильевича|РГБ, собр. Иосифо-Волоколамского монастыря № 191|Сборник из 16-ти отрывков, XVI и XVII вв., 8о, 415 л. Отрывок первый. Полуустав, переходящий в скоропись, и скоропись.|Книга, глаголемая Временник, сиречь летописец|Иосиф, иером. Опись рукописей перенесенных из библиотеки Иосифова монастыря в библиотеку Московской Духовной академии М., 1882. С. 236
Краткий русский летописец|РГБ, собр. И. Д. Беляева № 8 (1514)|Первая половина XVIII в., 2о, 60 л., скоропись. Начинается Летописцем вкратце от сотворения мира, патриарха Никиофра. Далее (л. 6 об.) краткое повествование о русских событиях, начиная с призвания князей (преимущественно по Никоновской летописи), которое ||Викторов А.Е. Собрание рукописей И.Д. Беляева. М., 1881. С. 7.
Летописец российский краткий с дополнениями|ГИМ, собр. П. И. Щукина № 493|1, 36 л., полуустав (1-8 об.) и скоропись (9-36 об.) серед XVIII в.|Летописные заметки 1744, 1711, 1763 гг.|
Краткая летопись до 6781 года|ГИМ, 1078|Кормчая, конец XV-начало XVI веков, 2о. Краткая летопись о 6781 года - приписана в Кормчей.||см. Повесть о Шилове монастыре
Летописец русский, краткий|РГБ, собр. Тихонравова № 52|Скоропись XVIII в., 4о, 265 л. Летописец оканчивается двоевластием. За сим с л. 218 "О взятии Казани" и с л. 255 об. "О взятии Астраханского царства".||Георгиевский Г.П. Императорский Московский и Румянцевский Музей. Собрание H.С. Тихонравова. I. Рукописи. М., 1913. С. 11.
Краткий летописец некоторых происшествий российский|РГБ, собр. Иосифо-Волоколамского монастыря № 101|Сборник, XVI в., 12о, 499 л.||
Краткая российская История 1591-1620 гг.|ГИМ, собр. Черткова № I 5/13|||
Летописец краткий|ГИМ, собр. Вострякова № 1106|XVIII в., 4о, 86 л., скоропись.||
Краткая летопись|РНБ, собр. М. П. Погодина № 1576|Сборник из трех отрывков, первый отрывок, скоропись XVII в., 4о, 174 л. л. 1. Краткая летопись, две первые тетради которой утрачены. Начинается описанием занятия Киева Аскольдом и Диром и оканчивается 7114 (1606) годом, исчислением убитых Поляков во время||Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 153-157. 
Летописец до взятия Азова в 7204 г.|Погод. 1623|Сборник XVIII в., 2о, 107 л. Летописание, соответственно содержанию, разделено на несколько граф. При некоторых сообщены биографические и исторические о них сведения. В графе, озаглавленной "Патриарси Россиистии" после Питирима помещены Дионисий Балабан и|Летописание краткое о княжении Киевских, Владимерских и Московских князей, и о преосвященных митрополитах, и о благочестивых царех и о святейших патриарсех Всеросийских, собрано от летописцов скорого ради ведения|
Краткий русский летописец||XVI в., 4о, 285 л. Начало расположено в сборнике Спасо-Ефимьева монастыря.||Викторов А. Е. Описи рукописных собраний в книгохранилищах Северной России. Издание Археографической комиссии. СПб., 1890. С. 315
Краткий русский летописец|РНБ, F.IV.229|2о, 171 л. Оканчивается временами соцарствования государей Иоанна и Петра Алексеевичей.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825. С. 643
Краткое собрание о разных летописцех, о начале древняго славенского народа, и о наречии или прозвищи его, и о первоначальных князех российских, и о наследниках державы благочестивыя их, даже и до настоящего времени 7186 (1678)|ГИМ, собр. П. И. Щукина, II, № 380|Сборник первой половины XVIII в., 4о, 292 л., полуустав и скоропись нескольких почерков.||Яцимирский А. И. Опись старинных славянских и русских рукописей собрания П. И. Щукина. Вып. 2. М., 1897. № 380. С. 103.
Краткий летописец до 7179 (1671) г.|РНБ, Q.XVII.71|Звезда пресветлая, к. XVII в. Текст летописца помещен на л. 196-250.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  Приб. II. № 250. 
Краткое описание российских происшествий с 6370 (862) по 7162 (1654) год|РНБ, F.I.183|Хронограф Дорофея Монемвасийского, конец XVII в., скоропись. Текст летописца начинается на л. 295.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  С. 74. № 141.
Краткий летописец, содержащий в себе происшествия времен великих князей Иоанна Василиевича, Василия Иоанновича и царя Иоанна Василиевича до похода его на Казань|РНБ, Q.IV.137|Скоропись XVII в., 4о, 126 л.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  С. 230.
Краткий летописный перечень событий от призвания варягов до воцарения Бориса Годунова в 1598 г.|РНБ, собр. М. П. Погодина № 1573|Сборник из шести отрывков, 4о, 179 л. Текст начинается на л. 11. Известие о пришествии Рюрика, Синеуса и Трувора ошибочно отнесено к 6300 году. За вторую половину XVI в. летописец содержит ряд уникальных известий||Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 139.
